Building Type,Building Name,Street,Zip,Phone,URL,Off Street Parking,Paking Spaces,Accessible Parking Spaces,Location
Fire Station,Station 14,111 N. Snelling Avenue,55104,651-646-1748,https://www.stpaul.gov/departments/fire-paramedics/fire-stations/station-14,,,,"111 N. Snelling Avenue
Saint Paul, MN 55104
(44.944736, -93.166993)"
Fire Station,Station 17,1226 Payne Avenue,55101,651-776-1683,https://www.stpaul.gov/departments/fire-safety/fire-stations/station-17,,,,"1226 Payne Avenue
Saint Paul, MN 55101
(44.978075, -93.07353)"
Fire Station,Station 18,681 University Avenue,55103,651-224-6896,https://www.stpaul.gov/departments/fire-safety/fire-stations/station-18,,,,"681 University Avenue
Saint Paul, MN 55103
(44.956099, -93.129148)"
Fire Station,Station 19,2530 Edgcumbe Road,55116,651-699-2504,https://www.stpaul.gov/departments/fire-paramedics/fire-stations/station-19,,,,"2530 Edgcumbe Road
Saint Paul, MN 55116
(44.903725, -93.177083)"
Fire Station,Station 20,2179 University Avenue,55114,651-644-9443,https://www.stpaul.gov/station-20,,,,"2179 University Avenue
Saint Paul, MN 55114
(44.961118, -93.190323)"
Fire Station,Station 22,225 Front Avenue,55117,651-489-1004,https://www.stpaul.gov/departments/fire-paramedics/fire-stations/station-22,,,,"225 Front Avenue
Saint Paul, MN 55117
(44.97021, -93.109423)"
Fire Station,Station 23,1926 Como Avenue,55108,651-644-7930,https://www.stpaul.gov/departments/fire-paramedics/fire-stations/station-23,,,,"1926 Como Avenue
Saint Paul, MN 55108
(44.976292, -93.181544)"
Firehouse,Station 24,273 White Bear Avenue,55106,651-774-3490,https://www.stpaul.gov/departments/fire-paramedics/fire-stations/station-24,,,,"273 White Bear Avenue
Saint Paul, MN 55106
(44.949351, -93.025215)"
Recreation Center,Arlington Hills Comm Center,1200 Payne Avenue,55130,651-632-3861,http://arlingtonhillscc.com/,Yes,103,3,"1200 Payne Avenue
Saint Paul, MN 55130
(44.977456, -93.073523)"
Recreation Center,Battle Creek Rec Center,75 Winthrop Street S,55119,651-501-6347,https://www.stpaul.gov/battle-creek-recreation-center,Yes,179,6,"75 Winthrop Street S
Saint Paul, MN 55119
(44.939926, -93.009945)"
Recreation Center,Dayton's Bluff Rec Center,800 Conway Avenue,55106,651-793-3885,https://www.stpaul.gov/daytons-bluff-recreation-center,Yes,53,3,"800 Conway Avenue
Saint Paul, MN 55106
(44.95581, -93.065244)"
Recreation Center,Duluth and Case Rec Center,1020 Duluth Street,55106,651-298-5709,https://www.stpaul.gov/duluth-and-case-recreation-center,Yes,115,5,"1020 Duluth Street
Saint Paul, MN 55106
(44.971295, -93.050767)"
Recreation Center,Edgcumbe Rec Center,320 S Griggs Street,55105,651-695-3711,https://www.stpaul.gov/edgcumbe-recreation-center,Yes,8,1,"320 S Griggs Street
Saint Paul, MN 55105
(44.931528, -93.151709)"
Recreation Center,El Rio Vista Rec Center,179 E Robie Street,55107,651-789-2500,https://www.stpaul.gov/el-rio-vista-recreation-center-wellstone-community-center,Yes,150,0,"179 E Robie Street
Saint Paul, MN 55107
(44.930573, -93.07719)"
Recreation Center,Groveland Rec Center,2021 Street. Clair Avenue,55105,651-695-3714,https://www.stpaul.gov/groveland-recreation-center,No,0,0,"2021 Street. Clair Avenue
Saint Paul, MN 55105
(44.93431, -93.186064)"
Recreation Center,Hancock Rec Center,1610 Hubbard Avenue,55104,651-298-4393,https://www.stpaul.gov/hancock-recreation-center,Yes,39,2,"1610 Hubbard Avenue
Saint Paul, MN 55104
(44.965262, -93.168871)"
Recreation Center,Hayden Heights Rec Center,1965 Hoyt Avenue E,55119,651-298-5716,https://www.stpaul.gov/hayden-heights-recreation-center,Yes,11,1,"1965 Hoyt Avenue E
Saint Paul, MN 55119
(44.988314, -93.017553)"
Recreation Center,Hazel Park Rec Center,945 Hazel Street N,55119,651-501-6350,https://www.stpaul.gov/hazel-park-recreation-center,Yes,44,2,"945 Hazel Street N
Saint Paul, MN 55119
(44.969235, -93.020235)"
Recreation Center,Highland Park Comm Center,1978 Ford Pkwy,55116,651-695-3706,https://www.stpaul.gov/highland-park-community-center,Yes,44,4,"1978 Ford Pkwy
Saint Paul, MN 55116
(44.917865, -93.18298)"
Recreation Center,Langford Rec Center,30 Langford Park,55108,651-298-5765,https://www.stpaul.gov/langford-park-recreation-center,No,0,0,"30 Langford Park
Saint Paul, MN 55108
(44.976241, -93.194622)"
Recreation Center,Linwood Rec Center,860 St Clair Avenue,55105,651-298-5660,https://www.stpaul.gov/linwood-recreation-center,Yes,25,3,"860 St Clair Avenue
Saint Paul, MN 55105
(44.93413, -93.1364)"
Recreation Center,Martin Luther King Rec Center,271 Mackubin Street,55102,651-290-8695,https://www.stpaul.gov/martin-luther-king-recreation-center,Yes,16,1,"271 Mackubin Street
Saint Paul, MN 55102
(44.949384, -93.121215)"
Recreation Center,McDonough Rec Center,1544 Timberlake Rd,55117,651-558-2171,https://www.stpaul.gov/mcdonough-recreation-center,Yes,64,4,"1544 Timberlake Rd
Saint Paul, MN 55117
(44.986971, -93.093097)"
Recreation Center,Merriam Park Rec Center,2000 St. Anthony Avenue,55104,651-298-5766,https://www.stpaul.gov/merriam-park-recreation-center,Yes,38,2,"2000 St. Anthony Avenue
Saint Paul, MN 55104
(44.953163, -93.185348)"
Recreation Center,North Dale Rec Center,1410 St. Albans St N,55117,651-558-2329,https://www.stpaul.gov/north-dale-recreation-center,Yes,32,4,"1410 St. Albans St N
Saint Paul, MN 55117
(44.983656, -93.128758)"
Recreation Center,Northwest Como Rec Center,1550 Hamline Avenue,55108,651-298-5813,https://www.stpaul.gov/northwest-como-recreation-center,Yes,12,2,"1550 Hamline Avenue
Saint Paul, MN 55108
(44.98733, -93.156643)"
Recreation Center,Oxford Community Center,270 Lexington Pkwy N,55140,651-642-0650,https://www.stpaul.gov/departments/parks-recreation/oxford-community-center,Yes,178,7,"270 Lexington Pkwy N
Saint Paul, MN 55140
(44.948917, -93.14656)"
Recreation Center,Palace Rec Center,781 Palace Avenue,55102,651-298-5677,https://www.stpaul.gov/palace-recreation-center,No,0,0,"781 Palace Avenue
Saint Paul, MN 55102
(44.929149, -93.132409)"
Recreation Center,Phalen Rec Center,1000 Wheelock Pkwy,55106,651-793-6600,https://www.stpaul.gov/phalen-recreation-center,Yes,83,2,"1000 Wheelock Pkwy
Saint Paul, MN 55106
(44.983408, -93.057669)"
Recreation Center,Rice Rec Center,1021 Marion Street,55117,651-558-2392,https://www.stpaul.gov/rice-recreation-center,No,0,0,"1021 Marion Street
Saint Paul, MN 55117
(44.971997, -93.109776)"
Recreation Center,Scheffer Rec Center,237 Thomas Avenue,55103,651-298-5820,https://www.stpaul.gov/scheffer-recreation-center,No,0,0,"237 Thomas Avenue
Saint Paul, MN 55103
(44.959386, -93.110538)"
Recreation Center,West Minnehaha Rec Center,685 Minnehaha Avenue W,55104,651-298-5823,https://www.stpaul.gov/west-minnehaha-recreation-center,Yes,35,3,"685 Minnehaha Avenue W
Saint Paul, MN 55104
(44.962948, -93.129664)"
Recreation Center,Wilder Rec Center,958 Jessie Street,55130,651-298-5727,https://www.stpaul.gov/wilder-recreation-center,Yes,12,0,"958 Jessie Street
Saint Paul, MN 55130
(44.96928, -93.077338)"
