PERMIT NUMBER,PERMIT TYPE,PERMIT STATUS,PERMIT SUB-TYPE,WORK DESCRIPTION,PERMIT ISSUE DATE,ESTIMATED VALUE OF WORK,STATE VALUATION,CONTRACTOR,LOCATION,COUNT
M 15-022751-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"FRIDAY, APRIL 03, 2015",$5660.00,,DEAN ADELMAN DEAN'S PROFESSIONAL PLUMBING,"1023 ARCADE ST
Saint Paul, MN
(44.972284, -93.065956)",1
M 15-022752-REF,Mechanical Permit,Active/Issued,Refrigeration,Residential New,"FRIDAY, APRIL 03, 2015",$7000.00,,STEVEN SINKIE HEATING & COOLING TWO INC,"555 MOUNT CURVE BLVD
Saint Paul, MN
(44.924719, -93.195078)",1
M 15-022814-REF,Mechanical Permit,Active/Issued,Refrigeration,Residential Replace,"FRIDAY, APRIL 03, 2015",$4000.00,,DAVID DAHER FREEDOM HEATING & AIR CONDITIONING INC,"1625 BOHLAND AVE
Saint Paul, MN
(44.916136, -93.168974)",1
M 15-022818-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"FRIDAY, APRIL 03, 2015",$350.00,,STEVEN SWANSON AAIRGATE HEATING & A/C,"1638 ST ALBANS ST N
Saint Paul, MN
(44.990533, -93.128682)",1
M 15-022901-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"FRIDAY, APRIL 03, 2015",$300.00,,BRIAN NERISON KB SERVICE CO INC,"1864 DAYTON AVE
Saint Paul, MN
(44.947246, -93.179195)",1
M 15-022903-REF,Mechanical Permit,Active/Issued,Refrigeration,Residential Replace,"FRIDAY, APRIL 03, 2015",$3000.00,,BRIAN NERISON KB SERVICE CO INC,"933 CONWAY ST
Saint Paul, MN
(44.955849, -93.061226)",1
M 15-022914-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"FRIDAY, APRIL 03, 2015",$4800.00,,AIRIC'S HEATING LLC,"684 BIDWELL ST
Saint Paul, MN
(44.924968, -93.090942)",1
M 15-022963-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"FRIDAY, APRIL 03, 2015",$300.00,,BRIAN NERISON KB SERVICE CO INC,"2123 GERANIUM AVE E
Saint Paul, MN
(44.975216, -93.01061)",1
M 15-022987-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"FRIDAY, APRIL 03, 2015",$300.00,,BRIAN NERISON KB SERVICE CO INC,"1742 MARGARET ST
Saint Paul, MN
(44.961285, -93.02695)",1
M 15-022996-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"FRIDAY, APRIL 03, 2015",$300.00,,BRIAN NERISON KB SERVICE CO INC,"1644 WILSON AVE
Saint Paul, MN
(44.954068, -93.031018)",1
M 15-023449-REF,Mechanical Permit,Active/Issued,Refrigeration,Residential Replace,"FRIDAY, APRIL 03, 2015",$2800.00,,DAVID PEARL SCHWANTES HEATING & AIR INC,"1936 MONTREAL AVE
Saint Paul, MN
(44.912464, -93.18219)",1
M 15-018235-GAS,Mechanical Permit,Inspected,Gas,Residential New,"FRIDAY, APRIL 03, 2015",$140000.00,,DAVID ROUSE S R MECHANICAL,"1305 UNIVERSITY AVE W - Hamline station TOD
Saint Paul, MN
",1
M 15-018309-GAS,Mechanical Permit,Inspected,Gas,Residential Repair/Alter,"FRIDAY, APRIL 03, 2015",$1100.00,,RANDY PETERSON OPTIMUM MECHANICAL SYSTEMS INC,"1064 ROSE AVE E
Saint Paul, MN
(44.976623, -93.055428)",1
M 15-018713-GAS,Mechanical Permit,Inspected,Gas,Commercial Replace,"FRIDAY, APRIL 03, 2015",$16418.00,,CARL HEDLUND ECO MECHANICAL SERVICES LLC,"612 UNIVERSITY AVE W - WENDY'S
Saint Paul, MN
(44.955658, -93.125575)",1
M 15-019587-GAS,Mechanical Permit,Inspected,Gas,Residential Replace,"FRIDAY, APRIL 03, 2015",$1000.00,,BRYAN SLATTERY FRIENDLY HEATING & AIR CONDITIONING INC,"353 WHEELOCK PKWY W
Saint Paul, MN
(44.988328, -93.1138)",1
M 15-019658-REF,Mechanical Permit,Inspected,Refrigeration,Residential Replace,"FRIDAY, APRIL 03, 2015",$3000.00,,CHRIS KALLSTROM RESIDENTIAL HEATING & AIR INC,"1499 HYTHE ST
Saint Paul, MN
(44.986501, -93.190136)",1
M 15-021754-GAS,Mechanical Permit,Inspected,Gas,Residential Replace,"FRIDAY, APRIL 03, 2015",$3591.00,,Mr Eric Mattren APOLLO HEATING AND VENTILATING,"681 FARRINGTON ST
Saint Paul, MN
(44.961898, -93.11341)",1
M 15-022110-GAS,Mechanical Permit,Inspected,Gas,Residential Replace,"FRIDAY, APRIL 03, 2015",$2000.00,,JAMES VINZANT RAY VINZANT PLUMBING,"1264 POINT DOUGLAS ROAD S
Saint Paul, MN
(44.903555, -93.010576)",1
M 15-022117-REF,Mechanical Permit,Inspected,Refrigeration,Residential Replace,"FRIDAY, APRIL 03, 2015",$1500.00,,JAMES VINZANT RAY VINZANT PLUMBING,"1264 POINT DOUGLAS ROAD S
Saint Paul, MN
(44.903555, -93.010576)",1
M 15-022462-REF,Mechanical Permit,Inspected,Refrigeration,Residential New,"FRIDAY, APRIL 03, 2015",$2500.00,,ROBERT UNDERDAHL ASSURED COMFORT HEATING & AIR COND LLC,"1262 HARTFORD AVE - New Home
Saint Paul, MN
(44.923324, -93.153485)",1
M 15-022465-FIR,Mechanical Permit,Inspected,Factory Built Fireplace,Residential New,"FRIDAY, APRIL 03, 2015",$500.00,,ROBERT UNDERDAHL ASSURED COMFORT HEATING & AIR COND LLC,"1262 HARTFORD AVE - New Home
Saint Paul, MN
(44.923324, -93.153485)",1
M 15-022469-GAS,Mechanical Permit,Inspected,Gas,Residential New,"FRIDAY, APRIL 03, 2015",$1000.00,,ROBERT UNDERDAHL ASSURED COMFORT HEATING & AIR COND LLC,"1262 HARTFORD AVE - New Home
Saint Paul, MN
(44.923324, -93.153485)",1
M 15-022750-GAS,Mechanical Permit,Inspected,Gas,Residential New,"FRIDAY, APRIL 03, 2015",$7000.00,,STEVEN SINKIE HEATING & COOLING TWO INC,"555 MOUNT CURVE BLVD
Saint Paul, MN
(44.924719, -93.195078)",1
M 15-022851-GAS,Mechanical Permit,Inspected,Gas,Residential Replace,"FRIDAY, APRIL 03, 2015",$6328.00,,DAVID SMITH ST PAUL PLBG & HTG CO,"682 HOYT AVE E
Saint Paul, MN
(44.988304, -93.071958)",1
PG 15-020409-GSF,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Gasfitting Only,Residential Replace,"FRIDAY, APRIL 03, 2015",$500.00,,CHARLES GABRELCIK LINN STAR TRANSFER INC,"1593 MERRILL ST
Saint Paul, MN
(44.989217, -93.152682)",1
PG 15-021971-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"FRIDAY, APRIL 03, 2015",$700.00,,DAVID REILAND METRO HEATING AND COOLING LLC,"1856 HIGHLAND PKWY
Saint Paul, MN
(44.919665, -93.178742)",1
PG 15-023135-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"FRIDAY, APRIL 03, 2015",$500.00,,CHARLES GABRELCIK LINN STAR TRANSFER INC,"701 OHIO ST
Saint Paul, MN
(44.924782, -93.097672)",1
PG 15-023165-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"FRIDAY, APRIL 03, 2015",$500.00,,CHARLES GABRELCIK LINN STAR TRANSFER INC,"952 WESTERN AVE N
Saint Paul, MN
(44.969847, -93.116103)",1
PG 15-023212-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"FRIDAY, APRIL 03, 2015",$700.00,,DAVID REILAND METRO HEATING AND COOLING LLC,"845 BURR ST
Saint Paul, MN
(44.966927, -93.079876)",1
PG 15-023237-GSF,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Gasfitting Only,Residential Replace,"FRIDAY, APRIL 03, 2015",$600.00,,PAUL VADNAIS PLBG-WELL INC,"1187 ST PAUL AVE
Saint Paul, MN
(44.906292, -93.180068)",1
PG 15-023543-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"FRIDAY, APRIL 03, 2015",$700.00,,DAVID REILAND METRO HEATING AND COOLING LLC,"1601 ATLANTIC ST
Saint Paul, MN
(44.989648, -93.048212)",1
PG 15-023613-GSF,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Gasfitting Only,Residential Replace,"FRIDAY, APRIL 03, 2015",$800.00,,GLENN ROESKE SUN RAY PLUMBING & HEATING INC.,"187 CONGRESS ST E - Dunedin Terrace Public Housing
Saint Paul, MN
",1
PG 15-023624-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"FRIDAY, APRIL 03, 2015",$500.00,,RICHARD PETERSON CITIES 1 PLUMBING AND HEATING INC,"1876 MAGNOLIA AVE E
Saint Paul, MN
(44.973907, -93.021303)",1
PG 15-020869-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Commercial Alter,"FRIDAY, APRIL 03, 2015",$18000.00,,ROBERT SKEIE COMMERCIAL PLBG & HTG INC,"2042 ST CLAIR AVE - Craig Daub DDS
Saint Paul, MN
(44.934314, -93.186652)",1
PG 15-022735-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Addition,"FRIDAY, APRIL 03, 2015",$12000.00,,WILLIAM JANSEN NORTH ANOKA PLUMBING,"1625 BOHLAND AVE
Saint Paul, MN
(44.916136, -93.168974)",1
PG 15-022745-GSF,Plumbing/Gasfitting/Inside Water Piping,Inspected,Gasfitting Only,Residential New,"FRIDAY, APRIL 03, 2015",$2500.00,,STEVEN SINKIE HEATING & COOLING TWO INC,"555 MOUNT CURVE BLVD
Saint Paul, MN
(44.924719, -93.195078)",1
PG 15-023385-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Alter,"FRIDAY, APRIL 03, 2015",$12000.00,,ROSS MEYER R PLUMBING CO,"2116 STANFORD AVE
Saint Paul, MN
(44.932499, -93.18973)",1
PG 15-023614-GSF,Plumbing/Gasfitting/Inside Water Piping,Inspected,Gasfitting Only,Residential Replace,"FRIDAY, APRIL 03, 2015",$850.00,,MARK ESPAROLINI FOCUS PLUMBING SERVICE LLC,"452 ETNA ST
Saint Paul, MN
(44.955004, -93.04143)",1
W 15-018207-WRM,"Warm Air, Ventilation & General Sheet ",Active/Issued,Warm Air Only,Residential New,"FRIDAY, APRIL 03, 2015",$171250.00,,DAVID ROUSE S R MECHANICAL,"1309 UNIVERSITY AVE W - Hamline Station TOD
Saint Paul, MN
",1
W 15-018213-VEN,"Warm Air, Ventilation & General Sheet ",Active/Issued,Ventilation Only,Commercial New,"FRIDAY, APRIL 03, 2015",$115000.00,,DAVID ROUSE S R MECHANICAL,"1309 UNIVERSITY AVE W - Hamline Station TOD
Saint Paul, MN
",1
W 15-020293-WRM,"Warm Air, Ventilation & General Sheet ",Active/Issued,Warm Air Only,Commercial Replace,"FRIDAY, APRIL 03, 2015",$21490.00,,Wenzel Heating and A/C FORCED AIR INC,"172 6TH ST E - JACKSON TOWER @ GALTIER PLAZA
Saint Paul, MN
",1
W 15-022077-WRM,"Warm Air, Ventilation & General Sheet ",Active/Issued,Warm Air Only,Residential Replace,"FRIDAY, APRIL 03, 2015",$3000.00,,DAVID DAHER FREEDOM HEATING & AIR CONDITIONING INC,"2301 BEVERLY ROAD
Saint Paul, MN
(44.9556, -93.195058)",1
W 15-022235-VEN,"Warm Air, Ventilation & General Sheet ",Active/Issued,Ventilation Only,Commercial Repair/Alter,"FRIDAY, APRIL 03, 2015",$200.00,,JAYHAWK MECHANICAL INC,"1950 BURNS AVE
Saint Paul, MN
(44.948659, -93.017429)",1
W 15-022404-VEN,"Warm Air, Ventilation & General Sheet ",Active/Issued,Ventilation Only,Residential Repair/Alter,"FRIDAY, APRIL 03, 2015",$5000.00,,LAURA FOSCHIATTI BLUE OX HEATING & AIR LLC,"1815 GOODRICH AVE
Saint Paul, MN
(44.937852, -93.177028)",1
W 15-022706-VEN,"Warm Air, Ventilation & General Sheet ",Active/Issued,Ventilation Only,Residential Repair/Alter,"FRIDAY, APRIL 03, 2015",$585.00,,TED FERRARA STANDARD HEATING & AIR CONDITIONING INC,"780 STEWART AVE
Saint Paul, MN
(44.920811, -93.131331)",1
W 15-023000-WRM,"Warm Air, Ventilation & General Sheet ",Active/Issued,Warm Air Only,Residential Replace,"FRIDAY, APRIL 03, 2015",$3000.00,,BRIAN NERISON KB SERVICE CO INC,"1644 WILSON AVE
Saint Paul, MN
(44.954068, -93.031018)",1
W 15-023226-WRM,"Warm Air, Ventilation & General Sheet ",Active/Issued,Warm Air Only,Residential Replace,"FRIDAY, APRIL 03, 2015",$11724.00,,DIANE MOYER HOME ENERGY CENTER,"547 ST CLAIR AVE
Saint Paul, MN
(44.93411, -93.122678)",1
W 15-023232-VEN,"Warm Air, Ventilation & General Sheet ",Active/Issued,Ventilation Only,Residential Repair/Alter,"FRIDAY, APRIL 03, 2015",$300.00,,JAMES BOEHM BOEHM HEATING CO,"1031 LAWSON AVE E
Saint Paul, MN
(44.972103, -93.056914)",1
W 15-015163-VEN,"Warm Air, Ventilation & General Sheet ",Inspected,Ventilation Only,Commercial Replace,"FRIDAY, APRIL 03, 2015",$3400.00,,MIKE RENSTROM MODERN HTG & A/C INC.,"1600 UNIVERSITY AVE W - SPRUCE TREE CENTRE
Saint Paul, MN
",1
W 15-016846-VEN,"Warm Air, Ventilation & General Sheet ",Inspected,Ventilation Only,Commercial Repair/Alter,"FRIDAY, APRIL 03, 2015",$6509126.00,,CHRIS RZESZUTEK HARRIS MECHANICAL,"75 REV DR MARTIN LUTHER KING JR BLVD - MN STATE CAPITOL BUILDING
Saint Paul, MN
(44.955125, -93.103752)",1
W 15-022123-WRM,"Warm Air, Ventilation & General Sheet ",Inspected,Warm Air Only,Residential Replace,"FRIDAY, APRIL 03, 2015",$2000.00,,JAMES VINZANT RAY VINZANT PLUMBING,"1264 POINT DOUGLAS ROAD S
Saint Paul, MN
(44.903555, -93.010576)",1
W 15-022460-WAV,"Warm Air, Ventilation & General Sheet ",Inspected,Warm Air & Ventilation,Residential New,"FRIDAY, APRIL 03, 2015",$10000.00,,ROBERT UNDERDAHL ASSURED COMFORT HEATING & AIR COND LLC,"1262 HARTFORD AVE - New Home
Saint Paul, MN
(44.923324, -93.153485)",1
W 15-022472-WAV,"Warm Air, Ventilation & General Sheet ",Inspected,Warm Air & Ventilation,Residential New,"FRIDAY, APRIL 03, 2015",$10000.00,,ROBERT UNDERDAHL ASSURED COMFORT HEATING & AIR COND LLC,"2153 JEFFERSON AVE - New home
Saint Paul, MN
(44.930712, -93.1912)",1
